City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,puerto carreno,6.189,-67.4859,26.99,83,20,1.54,CO,1689515709
334,bonham,33.5773,-96.1783,27.25,95,0,2.57,US,1689515709
335,toliara,-23.35,43.6667,23.25,60,0,3.67,MG,1689515710
336,kapa'a,22.0752,-159.319,26.18,71,40,6.17,US,1689515710
337,thunder bay,48.4001,-89.3168,15.99,72,75,1.54,CA,1689515481
338,yonan-up,37.9089,126.1611,22.17,98,99,2.29,KP,1689515710
339,kristiansund,63.1115,7.732,20.36,56,75,5.14,NO,1689515711
340,yerofey pavlovich,53.9667,121.9667,19.86,62,100,1.18,RU,1689515711
341,fort mcmurray,56.7268,-111.381,13.77,94,0,2.06,CA,1689515537
342,hotan,37.0997,79.9269,35.57,11,37,5.47,CN,1689515711
343,igarka,67.4667,86.5833,9.34,55,45,4.52,RU,1689515677
344,zhanaozen,43.3,52.8,28.67,32,24,5.6,KZ,1689515712
345,terrace,54.5163,-128.6035,15.95,100,100,2.06,CA,1689515712
346,faya-largeau,17.9257,19.1043,44.94,14,0,0.0,TD,1689515712
347,cody,44.5263,-109.0565,21.11,52,0,4.47,US,1689515684
348,ha'il,27.5219,41.6907,43.01,9,0,6.17,SA,1689515519
349,grand falls-windsor,48.9332,-55.6649,23.61,80,82,4.69,CA,1689515713
350,carolina beach,34.0352,-77.8936,31.7,79,73,4.85,US,1689515713
351,paranhos,-23.8928,-55.4311,16.86,53,96,1.68,BR,1689515714
352,bemidji,47.4736,-94.8803,14.87,78,75,7.2,US,1689515582
353,flying fish cove,-10.4217,105.6791,24.82,83,100,5.14,CX,1689515714
354,acarau,-2.8856,-40.12,29.83,59,41,6.96,BR,1689515714
355,babu,24.4167,111.5167,27.14,76,47,1.94,CN,1689515715
356,amahai,-3.3333,128.9167,24.81,88,100,0.91,ID,1689515715
357,pak phanang,8.3511,100.202,28.01,74,100,3.9,TH,1689515715
358,santo antonio do sudoeste,-26.0736,-53.7253,16.97,61,51,0.91,BR,1689515715
359,evergreen,39.6333,-105.3172,22.0,40,0,0.89,US,1689515716
360,tanjung pandan,-2.75,107.65,25.21,88,7,3.28,ID,1689515716
361,seydi,39.4816,62.9137,38.52,12,5,5.45,TM,1689515504
